theta,Ff,Fr,hard_f,hard_r,soft_vy_signed_f,soft_vy_signed_r,cubic_f,cubic_r,qfu,qfv,qru,qrv
1.52,3.0599564910751362,1.254249792389419,13.45981977874874,22.02505066420906,0.0774770598785955,-0.9999999635976744,-16.67955035352828,-75.78260013087073,0.9037882355821439,0.21849229895696085,0.09979822772837416,0.8004806670273615
1.53,3.054311968079579,1.2520165043481135,13.419885345978726,21.971428990225817,0.07736605126666833,-0.9999999639735044,-16.632774534244152,-75.70005223248664,0.903705178275494,0.21860200402275093,0.09979242203332928,0.8004918592876282
1.54,3.0486307746622003,1.2497685433103956,13.379797495035925,21.917561642969645,0.07725388677444396,-0.9999999643495653,-16.58561442936503,-75.61657806839085,0.903621694278101,0.21871213183067742,0.09978659719764636,0.8005030876299001
1.55,3.0429129594350903,1.247505922612823,13.339558044909655,21.863450432772794,0.07714055451861543,-0.9999999647258159,-16.538068795724723,-75.53217280077952,0.90353778522056,0.21882267708173644,0.09978075348018574,0.8005143515474343
1.56,3.0371585724629835,1.2452286560707606,13.299168816911532,21.809097174014063,0.07702604238774396,-0.9999999651022152,-16.49013637988045,-75.44683163764836,0.9034534527150155,0.21893363446049385,0.09977489113882337,0.800525650535534
1.57,3.031367665275853,1.242936757983442,13.258631634515774,21.754503685006505,0.07691033803672159,-0.999999965478722,-16.441815928884658,-75.36054983196858,0.9033686983541588,0.21904499863548654,0.09976901043043247,0.8005369840915847
1.58,3.0255402908811515,1.2406302431389986,13.217948323201131,21.69967178788577,0.0767934288814922,-0.9999999658552946,-16.3931061860775,-75.2733226839739,0.9032835237102783,0.21915676425961692,0.09976311161086661,0.8005483517150901
1.59,3.0196765037760285,1.2383091268194335,13.177120710291252,21.644603308498397,0.07667530209320764,-0.9999999662318917,-16.344005884224725,-75.1851455412874,0.903197930334209,0.2192689259705613,0.09975719493494245,0.8005597529077051
1.6,3.0137763599593357,1.2359734248055667,13.13615062479567,21.589300076290808,0.07655594459230701,-0.9999999666084713,-16.294513758934595,-75.09601380081044,0.9031119197542739,0.21938147839117908,0.09975126065642291,0.8005711871732694
1.61,3.007839916943345,1.2336231533819297,13.095039897251116,21.533763924198304,0.07643534304248899,-0.9999999669849917,-16.24462853554525,-75.00592290982783,0.903025493475212,0.21949441612992107,0.0997453090280019,0.8005826540178393
1.62,3.001867233765436,1.2312583293416197,13.05379035956234,21.477996688534745,0.0763134838443795,-0.9999999673614113,-16.194348932867733,-74.91486836664001,0.902938652977054,0.21960773378125087,0.09973934030128824,0.8005941529497193
1.6300000000000001,2.9958583709994393,1.2288789699911133,13.012403844843549,21.422000208882245,0.07619035312899784,-0.9999999677376875,-16.14367366650148,-74.82284571776935,0.9028513997139693,0.2197214259260595,0.09973335472679065,0.8006056834794913
1.6400000000000001,2.9898133907668356,1.226485093155023,12.970882187260003,21.36577632798159,0.07606593675113592,-0.9999999681137787,-16.092601444971468,-74.72985056832918,0.9027637351131028,0.21983548713208909,0.09972735255390343,0.8006172451200445
1.6500000000000001,2.9837323567477725,1.224076717180811,12.929227221869382,21.309326891622682,0.07594022028237049,-0.9999999684896422,-16.041130966682978,-74.63587857236907,0.9026756605733499,0.21994991195436078,0.09972133403089241,0.8006288373866031
1.6600000000000001,2.977615334192014,1.221653860943467,12.887440784462443,21.252653748535757,0.07581318900359554,-0.999999968865236,-15.98926092657887,-74.5409254411409,0.9025871774640517,0.2200646949356129,0.09971529940488122,0.8006404597967537
1.67,2.971462389929349,1.2192165438501197,12.84552471140626,21.19575875028262,0.07568482789787809,-0.9999999692405172,-15.936990008886646,-74.4449869395893,0.9024982871237595,0.22017983060672425,0.09970924892183823,0.8006521118704713
1.68,2.9652735923800932,1.2167647858446184,12.803480839485879,21.13864375114863,0.07555512164273806,-0.9999999696154436,-15.884316890522355,-74.34805889041411,0.902408990858895,0.22029531348715978,0.09970318282656392,0.8006637931301452
1.69,2.959049011565302,1.2142986074120417,12.761311005746094,21.081310608034954,0.07542405460194626,-0.9999999699899722,-15.831240238244487,-74.2501371714014,0.9023192899423397,0.22041113808541302,0.09969710136267855,0.8006755031006029
1.7,2.952788719116747,1.211818029583173,12.719017047334212,21.023761180351247,0.07529161081737192,-0.9999999703640605,-15.777758711464232,-74.15121772252238,0.9022291856120334,0.22052729889945333,0.09969100477261113,0.8006872413091328
1.71,2.9464927882866743,1.2093230739389158,12.676600801342945,20.965997329908774,0.07515777400042847,-0.9999999707376659,-15.723870955804948,-74.05129654056256,0.9021386790695156,0.22064379041717558,0.09968489329758712,0.8006990072855085
1.72,2.940161293957471,1.2068137626146653,12.63406410465282,20.908020920814135,0.07502252752301043,-0.9999999711107452,-15.669575606627786,-73.95036968052503,0.9020477714783789,0.22076060711686063,0.09967876717761842,0.8007108005620087
1.73,2.933794312650912,1.204290118304607,12.591408793776147,20.849833819363297,0.07488585440849123,-0.9999999714832554,-15.614871291109502,-73.84843326332867,0.9019564639627455,0.22087774346762962,0.09967262665149282,0.8007226206734384
1.74,2.9273919225373906,1.2017521642659812,12.54863670470004,20.791437893936088,0.07474773732195317,-0.9999999718551537,-15.559756619927711,-73.74548346642125,0.9018647576056166,0.2209951939299119,0.09966647195676415,0.8007344671571489
1.75,2.9209542034448086,1.1991999243232865,12.505749672730797,20.732835014891414,0.0746081585604178,-0.9999999722263969,-15.50423018966472,-73.64151653365201,0.9017726534472288,0.22111295295591218,0.09966030332974264,0.8007463395530569
1.76,2.9144812368672457,1.196633422872413,12.462749532338279,20.674027054462645,0.07446710004264014,-0.9999999725969418,-15.448290587571162,-73.5365287697159,0.9016801524833454,0.22123101499008185,0.09965412100548644,0.8007582374036613
1.77,2.907973105973716,1.1940526848847395,12.419638116998556,20.615015886653804,0.0743245432977826,-0.9999999729667451,-15.391936380058088,-73.43051654658228,0.9015872556633581,0.22134937446961034,0.09964792521779223,0.8007701602540617
1.78,2.901429895616017,1.1914577359111589,12.37641725904233,20.555803387136052,0.0741804694553152,-0.9999999733357638,-15.335166122566948,-73.32347629875925,0.9014939638886211,0.22146802582488376,0.09964171619918806,0.8007821076519736
1.79,2.8948516923371987,1.188848602086051,12.333088789496937,20.496391433144787,0.07403485923258185,-0.9999999737039547,-15.277978348623442,-73.21540452766071,0.9014002780103771,0.22158696347999654,0.09963549418092478,0.8007940791477446
1.8,2.88823858437919,1.1862253101311875,12.289654537933803,20.436781903377412,0.07388769292325284,-0.999999974071274,-15.220371576589883,-73.1062978016865,0.9013061988278597,0.22170618185323068,0.09962925939296957,0.8008060742943679
1.81,2.8815906616904514,1.1835878873595902,12.246116332314347,20.376976677891363,0.07373895038480639,-0.9999999744376784,-15.162344305419568,-72.9961527568231,0.9012117270862318,0.22182567535755593,0.09962301206399854,0.800818092647497
1.82,2.8749080159334337,1.1809363616793165,12.202475998835952,20.3169776380029,0.0735886110254408,-0.9999999748031252,-15.10389501176439,-72.88496609872297,0.901116863474439,0.22194543840113615,0.09961675242139016,0.8008301337654579
1.83,2.868190740491721,1.1782707615971832,12.158735361779268,20.25678666618645,0.07343665379065033,-0.9999999751675701,-15.045022154285675,-72.77273460110375,0.9010216086230203,0.22206546538783534,0.09961048069122,0.8008421972092609
1.84,2.8614389304770023,1.1755911162224426,12.114896243355524,20.196405645974416,0.07328305714918261,-0.9999999755309702,-14.985724162873023,-72.65945510563674,0.9009259631018193,0.22218575071773258,0.09960419709825424,0.800854282542613
1.85,2.854652682735815,1.1728974552703713,12.070960463554048,20.13583646185763,0.07312779907833884,-0.9999999758932819,-14.925999444648346,-72.54512452908762,0.9008299274176028,0.22230628878764216,0.09959790186594539,0.8008663893319266
