family,shape,N,Theta,theta,n_minima,ground_u,ground_v,sign,Fc,fold_x,fold_y,connected,reason,final_dist,maxjump,mineig,maxres
hex,shell16,817,20,0.6997114285413196,2,8.009807543536629e-17,1.0,1,2.9017967093739716,0.012234482095196657,0.19177316858246113,True,ok,0.004518870704529636,0.010551850086328154,0.07409179333149117,9.279606838579055e-14
hex,shell16,817,20,0.6997114285413196,2,8.009807543536629e-17,1.0,-1,1.1915880949830984,3.2813818157058885e-05,-0.1725294943370183,True,ok,0.0056807189528677695,0.012140779945532264,0.42100112221001723,2.362652616842797e-15
hex,shell18,1027,0,0.0,2,0.0,0.0,1,3.4851202323700723,0.015107260117101675,0.1812524912332831,True,ok,0.004781448059498778,0.010325117702284437,0.10003107064980972,1.46549443357347e-14
hex,shell18,1027,0,0.0,2,0.0,0.0,-1,1.4222355051564721,5.5218492948535126e-05,-0.17363318390044577,True,ok,0.0059086868673459605,0.012331432109630421,0.48364010277835556,9.245408901544945e-16
hex,shell18,1027,10,0.31204323970714826,2,0.9999999999999999,1.5038566721310848e-16,1,3.3404739795330114,0.014408463125429104,0.1841572539594609,True,ok,0.004717448168346353,0.01039391634546203,0.09374542461663654,1.3316629140737599e-14
hex,shell18,1027,10,0.31204323970714826,2,0.9999999999999999,1.5038566721310848e-16,-1,1.3650968729322879,4.933927519926869e-05,-0.1733166342213247,True,ok,0.005840254060631631,0.012277318367641043,0.46948791645844734,4.570835392459604e-15
hex,shell18,1027,15,0.4680648595607224,2,1.2987621818557458e-17,1.0,1,3.1578381290725352,0.013520513671644824,0.18752513325588563,True,ok,0.004636896450769306,0.010467837481360988,0.08567950647875033,2.27571453595895e-13
hex,shell18,1027,15,0.4680648595607224,2,1.2987621818557458e-17,1.0,-1,1.2929492183009907,4.224897574581123e-05,-0.17296263955270713,True,ok,0.005766447580031265,0.01221605861361613,0.4502039711008542,2.8007700126017508e-15
hex,shell18,1027,20,0.6240864794142965,2,0.9999999999999997,0.9999999999999998,1,2.9016803877160027,0.012234050841296746,0.1917743163280551,True,ok,0.004518831273823751,0.010551869622033243,0.07408704347704338,9.325136849542416e-14
hex,shell18,1027,20,0.6240864794142965,2,0.9999999999999997,0.9999999999999998,-1,1.1915413926573752,3.2810787971175565e-05,-0.17252935423216714,True,ok,0.005680696167653378,0.012140758150322083,0.42098626789012344,4.656091201857181e-15
