F0,period,u_per_cycle,v_per_cycle,m,n,lock_residual,dy_per_cycle,locked
1.75,80.0,1.9999999999999998,-1.9999999999999996,2.0,-2.0,3.8459253727671276e-16,-1.7320508075688767,True
2.0,80.0,3.000000000000001,-3.0000000000000013,3.0,-3.0,1.1749496091904413e-15,-2.598076211353317,True
2.25,80.0,2.0000000000000187,-3.0000000000000027,2.0,-3.0,1.7472526157385816e-14,-2.5980762113533182,True
2.5,80.0,2.0,-5.0,2.0,-5.0,0.0,-4.330127018922193,True
2.75,80.0,3.999999999999999,-5.999999999999998,4.0,-6.0,1.538370149106851e-15,-5.19615242270663,True
3.0,80.0,4.000000000004522,-7.0000000000022435,4.0,-7.0,3.915959514976326e-12,-6.062177826493013,True
3.25,80.0,6.000000000000556,-8.000000000000286,6.0,-8.0,4.815762035276606e-13,-6.928203230275756,True
3.5,80.0,7.000000000000213,-8.999999999999863,7.0,-9.0,3.0545590913570555e-13,-7.794228634059829,True
3.75,80.0,2.000000000000001,-8.000000000000002,2.0,-8.0,1.538370149106851e-15,-6.92820323027551,True
4.0,80.0,1.9999999999999993,-6.999999999999997,2.0,-7.0,2.401779625492033e-15,-6.062177826491068,True
