theta_deg,branch,U0,x0,y0,direction,Fc,fold_x,fold_y,fold_residual,lambda_soft,lambda_hard,soft_cubic,force_coupling_abs_vy,continued_points,seed_force
1.5,metastable,-0.2514737433951883,0.4999999999999999,0.2886751345948129,+y,0.21105864341942915,0.500017398263188,0.36208247263435156,2.6207075722243583e-13,-3.3603400027430773e-15,11.493290105502233,74.22144867130294,0.9999999431793679,22,0.21000000000000005
1.5,metastable,-0.2514737433951883,0.4999999999999999,0.2886751345948129,-y,0.611697272231306,0.5070659577810496,0.21651552083999726,2.479072190112377e-14,2.2620794126737565e-15,10.932479101004514,11.497028010411684,0.052154567344842875,63,0.6100000000000003
1.75,ground,-0.5276632942343704,0.9999999999999999,2.4651104027724527e-17,+y,2.920954203444808,1.0123291299251858,0.1914894343656134,1.1750258047140536e-15,-8.326672684688674e-17,12.505749672730811,15.504230146442227,0.07460815856042356,293,2.9199999999999817
1.75,ground,-0.5276632942343704,0.9999999999999999,2.4651104027724527e-17,-y,1.1991999243232867,1.0000334731063505,-0.17255873174409117,1.6862714141013866e-12,1.7719743756344514e-14,20.73283501489142,-73.6415163762131,0.9999999722263969,120,1.1900000000000008
1.75,metastable,-0.2387072290518576,0.5000000000000001,0.2886751345948129,+y,0.2127584060819446,0.5000153758091,0.3643253744637054,2.5202347081268185e-14,-2.270759382800745e-15,11.0968651485686,70.88633531198772,0.9999999581561485,22,0.21000000000000005
1.75,metastable,-0.2387072290518576,0.5000000000000001,0.2886751345948129,-y,0.616307047468274,0.5068968522983535,0.21367713183676154,8.962320691573495e-14,8.517492267046123e-15,10.521250019744024,10.477254460925877,0.049754254321890914,62,0.6100000000000003
2.0,ground,-0.492111277480732,0.9999999999999999,6.776469334155288e-17,+y,2.7487976735496735,1.011413130131195,0.19411169157729288,1.4847884884359997e-13,1.3024303857633868e-14,11.401553443293205,13.977744558310969,0.0705828811910894,275,2.7399999999999856
2.0,ground,-0.492111277480732,0.9999999999999999,6.776469334155288e-17,-y,1.1308327718834268,1.000027364250021,-0.17229551209882452,2.8311717078212086e-14,1.2370718200697636e-15,19.206002283959414,-70.70216307106635,0.999999981167835,114,1.1300000000000008
2.0,metastable,-0.22422395991826088,0.5000000000000002,0.28867513459481264,+y,0.21246612014771393,0.5000129297574583,0.3666332821436324,8.929426485040174e-14,7.881013711029112e-16,10.59718481661892,67.12425083339323,0.9999999720789566,22,0.21000000000000005
2.0,metastable,-0.22422395991826088,0.5000000000000002,0.28867513459481264,-y,0.6150902439682162,0.5066178705183486,0.21064321301331687,3.632588668846e-14,3.6290415117434804e-15,10.008841871722922,9.318082655654967,0.04671613774452599,63,0.6200000000000003
2.25,ground,-0.4535493155649594,1.5,0.8660254037844386,+y,2.5562953114582467,1.5102984778904442,1.0628478255734874,4.9396562397546865e-15,-3.8163916471489756e-16,10.254724466046703,12.163387985230964,0.06521882328787758,256,2.5499999999999896
2.25,ground,-0.4535493155649594,1.5,0.8660254037844386,-y,1.054077522685468,1.5000207568958375,0.6940012494706381,2.2783458541951002e-14,1.292152625624257e-15,17.580423948702762,-67.08408174433941,0.9999999889990313,106,1.0500000000000007
2.25,metastable,-0.20817640213269373,0.5000000000000002,0.28867513459481225,+y,0.2095243525430651,0.5000100748835595,0.3689261812096941,7.53029386636127e-15,7.535728141619185e-16,9.992151623369303,62.93322558866066,0.9999999839583174,21,0.20000000000000004
2.25,metastable,-0.20817640213269373,0.5000000000000002,0.28867513459481225,-y,0.6061651013945965,0.5061840833700364,0.2075019670667709,4.695121474686801e-14,4.9960036108132044e-15,9.395159419623674,8.00802501626109,0.04280510294808055,62,0.6100000000000003
2.5,ground,-0.4125711088002301,1.5,0.8660254037844386,+y,2.345779545274009,1.5088842628142947,1.0655744617762828,4.0119297366757514e-13,4.412789578189802e-14,9.091507507962007,9.997152798440274,0.05770080371977087,235,2.339999999999994
2.5,ground,-0.4125711088002301,1.5,0.8660254037844386,-y,0.9696944153155024,1.5000137721657187,0.6942759475911204,4.843748705930459e-14,-3.04344726889269e-15,15.885251808917197,-62.776149107409985,0.9999999950816953,97,0.9600000000000006
2.5,metastable,-0.19075760988578466,0.5,0.2886751345948129,+y,0.20340753610545972,0.5000068527873814,0.3711345737640785,1.2913852528006026e-13,-3.343910607590998e-15,9.285656447945478,58.31203810603101,0.9999999929466754,21,0.20000000000000004
2.5,metastable,-0.19075760988578466,0.5,0.2886751345948129,-y,0.5880622133653017,0.5055146927217533,0.2043412886494125,4.5117164129399045e-14,-5.192027363598584e-15,8.686439485491782,6.50871503888224,0.037527833429004204,59,0.5800000000000003
2.75,ground,-0.36980634366795856,0.5,0.8660254037844385,+y,2.120323510098373,0.506857177578877,1.068257405989138,1.9997139773677536e-14,2.525757381022231e-15,7.934663026810536,7.2444459665963095,0.045720049729237384,214,2.1199999999999988
2.75,ground,-0.36980634366795856,0.5,0.8660254037844385,-y,0.8787104347419477,0.5000065446497305,0.6945500357218631,3.948160521813639e-14,2.3323413846010968e-15,14.148651844942762,-57.80305568601952,0.9999999988720834,88,0.8700000000000006
2.75,metastable,-0.17220121555589588,0.5,0.2886751345948131,+y,0.19378526497223345,0.5000033302945942,0.3732020746812349,6.900483745655668e-14,-1.619942100851381e-15,8.4873034152324,53.270487782817334,0.9999999984085395,20,0.19000000000000003
2.75,metastable,-0.17220121555589588,0.5,0.2886751345948131,-y,0.5599360256198133,0.5043894213475897,0.20124182679202302,1.367923079770775e-16,-2.6020852139652106e-18,7.894741676388345,4.669639464152101,0.029447863253573726,56,0.5500000000000003
3.0,ground,-0.3259088864746171,2.3927057894188415e-17,3.195772598471667e-17,+y,1.8833145057626905,-0.003338314613960569,0.20480143008783808,4.4302146186962005e-15,6.509549843602969e-16,6.805938570882001,-3.252376454830277,0.022858913623712118,190,1.8800000000000014
3.0,ground,-0.3259088864746171,2.3927057894188415e-17,3.195772598471667e-17,-y,0.7824122481159915,-7.797741085813782e-07,-0.17120514213151455,1.0477833962034539e-14,-8.451691654564906e-16,12.397231731995642,-52.22638625787864,0.999999999983745,79,0.7800000000000005
