label,gauge_index,u,v,eta,Fp,Fm,Delta,rho,fold_res
min_slope_tested,6,0.125,0.125,0.075,0.6301715074618671,0.8958752403615422,-0.2657037328996751,-0.174112446606663,1.8885178175643228e-13
min_slope_tested,6,0.125,0.125,0.1,0.6749105511976635,0.9087544858910783,-0.2338439346934148,-0.14765997178500015,4.264519670784039e-14
min_slope_tested,6,0.125,0.125,0.125,0.7208628346677733,0.9214449542974238,-0.20058211962965045,-0.12213430453011209,8.707746590142724e-14
min_slope_tested,6,0.125,0.125,0.15,0.7679747876274045,0.9339477383536123,-0.16597295072620788,-0.09752086137442613,1.7393506876631798e-13
min_slope_tested,6,0.125,0.125,0.175,0.8161958292635113,0.9462640438768378,-0.13006821461332652,-0.07379924876336112,1.40709195628466e-14
min_slope_tested,6,0.125,0.125,0.2,0.8654786238728918,0.9583951751506623,-0.09291655127777054,-0.05094461652309234,1.0103439630776188e-13
min_slope_tested,6,0.125,0.125,0.225,0.9157792924196239,0.970342521820237,-0.05456322940061309,-0.028928793988103572,3.164344216600958e-13
min_slope_tested,6,0.125,0.125,0.25,0.9670575860896555,0.9821075471308772,-0.015049961041221693,-0.00772123448378907,3.009070886150351e-13
min_slope_tested,6,0.125,0.125,0.275,1.0192770288241684,0.9936917773884452,0.02558525143572321,0.012710207608165415,6.281080380750672e-14
min_slope_tested,6,0.125,0.125,0.3,1.0724050365041604,1.0050967925283347,0.06730824397582569,0.03239864487010899,1.5613975915416768e-13
min_slope_tested,6,0.125,0.125,0.325,1.1264130210370202,1.016324217688303,0.11008880334871729,0.05137764974589566,1.340705922901667e-13
min_slope_tested,6,0.125,0.125,0.35,1.181276488133663,1.0273757156886023,0.15390077244506073,0.06968085431410251,8.413400431671028e-14
min_slope_tested,6,0.125,0.125,0.375,1.2369751381489849,1.03825298033086,0.19872215781812486,0.08734164113218577,9.052647415543759e-14
min_slope_tested,6,0.125,0.125,0.4,1.2934929800903077,1.0489577304347042,0.24453524965560347,0.1043929114738111,1.7953919593246768e-13
min_slope_tested,6,0.125,0.125,0.425,1.3508184699028076,1.059491704538339,0.29132676536446866,0.1208669193092609,1.505956913403574e-13
min_slope_tested,6,0.125,0.125,0.45,1.4089446855724732,1.0698566561959781,0.33908802937649507,0.1367951612994446,4.6824175643943436e-14
min_slope_tested,6,0.125,0.125,0.475,1.4678695536508402,1.0800543498112034,0.38781520383963675,0.15220831490009765,4.0252080852956e-14
min_slope_tested,6,0.125,0.125,0.5,1.5275961447790392,1.090086556951205,0.4375095878278341,0.16713621843420812,2.585964182440268e-13
min_slope_tested,6,0.125,0.125,0.525,1.5881330600679269,1.099955053091977,0.4881780069759498,0.18160788873921485,2.589001953113906e-14
min_slope_tested,6,0.125,0.125,0.55,1.6494949363537323,1.1096616147495824,0.53983332160415,0.19565157380732337,1.6797472589259303e-13
min_slope_tested,6,0.125,0.125,0.575,1.7117031072694107,1.1192080169568706,0.5924950903125401,0.20929483982810498,4.481997289573193e-14
min_slope_tested,6,0.125,0.125,0.6,1.7747864701010747,1.1285960310491439,0.6461904390519309,0.22256469438523266,1.5650034277458097e-13
min_slope_tested,6,0.125,0.125,0.625,1.8387826276828674,1.1378274227259246,0.7009552049569427,0.23548775052367954,1.7831163052237475e-13
min_slope_tested,6,0.125,0.125,0.65,1.903739403620578,1.1469039503592402,0.7568354532613377,0.24809044042266787,1.0249938509839797e-13
min_slope_tested,6,0.125,0.125,0.675,1.9697168737892883,1.1558273635219043,0.813889510267384,0.2603992932019889,3.540301875280103e-13
min_slope_tested,6,0.125,0.125,0.7,2.0367901274730986,1.1645994017119274,0.8721907257611712,0.272441300194795,2.7081086773833583e-13
min_slope_tested,6,0.125,0.125,0.725,2.1050530858980236,1.1732217932516869,0.9318312926463368,0.28424440505978155,2.974465280508177e-13
min_slope_tested,6,0.125,0.125,0.75,2.1746238982055273,1.1816962543426262,0.9929276438629011,0.29583817953393393,1.5259567954909677e-13
min_slope_tested,6,0.125,0.125,0.775,2.24565277151337,1.1900244882582902,1.0556282832550796,0.307254786593441,1.5292815943944487e-13
min_slope_tested,6,0.125,0.125,0.8,2.3183337097065926,1.198208184660243,1.1201255250463495,0.3185304081946766,8.637494698201806e-14
min_slope_tested,6,0.125,0.125,0.825,2.392922837067069,1.2062490190230761,1.1866738180439929,0.32970746201963835,3.3575363219884107e-13
min_slope_tested,6,0.125,0.125,0.85,2.469768487816393,1.2141486521560538,1.255619835660339,0.34083824037088145,1.7123445066667007e-13
min_slope_tested,6,0.125,0.125,0.875,2.549363943532357,1.2219087298103672,1.32745521372199,0.35199131134301676,1.8309886467754935e-13
min_slope_tested,6,0.125,0.125,0.9,2.632448236112591,1.2295308823620181,1.4029173537505728,0.363263837196689,8.908734366860804e-14
min_slope_tested,6,0.125,0.125,0.925,2.720223705848175,1.23701672456145,1.4832069812867248,0.374808406860736,2.318508684535049e-13
min_slope_tested,6,0.125,0.125,0.95,2.8149208952801166,1.2443678553419764,1.5705530399381402,0.38690350364887205,8.526146598968031e-14
min_slope_tested,6,0.125,0.125,0.975,2.9218384218237863,1.2515858576799048,1.6702525641438815,0.40021154147847865,3.912298119355328e-13
min_slope_tested,6,0.125,0.125,1.0,3.0711353385392663,1.2586722984999557,1.8124630400393107,0.4186012848549309,1.0191000873827749e-13
near_zero_slope_tested,16,0.375,0.125,0.0,,,0.0,0.0,
near_zero_slope_tested,16,0.375,0.125,0.025,1.9187050727610537,1.9213675458999064,-0.0026624731388527056,-0.0006933392680946526,3.5976908093266637e-14
near_zero_slope_tested,16,0.375,0.125,0.05,1.914415069970733,1.9199075246503232,-0.005492454679590253,-0.0014324445958968845,3.905734964027124e-14
