eta,Fc_forward,Fc_reverse,DeltaFc,rho
0.017500000000000154,2.4247279258934067,2.3751209300596883,0.049606995833718415,0.010335116234377356
0.020000000000000157,2.4282877855471297,2.3715944218822655,0.056693363664864105,0.011811407283518854
0.02250000000000016,2.431849800074101,2.368070206917154,0.06377959315694692,0.013287636682288386
0.02500000000000016,2.435413961058616,2.3645482940380855,0.07086566702053032,0.01476379672471042
0.027500000000000163,2.4389802601123654,2.3610286921451595,0.07795156796720581,0.016239879704920943
0.030000000000000165,2.442548688874471,2.35751141016474,0.0850372787097311,0.017715877917185312
0.03250000000000017,2.4461192390115163,2.3539964570493783,0.09212278196213797,0.019191783655909886
0.03500000000000017,2.449691902217581,2.350483841777736,0.09920806043984509,0.02066758921565474
0.03750000000000017,2.453266670214272,2.3469735733544734,0.10629309685979837,0.02214328689115248
0.040000000000000174,2.4568435347507456,2.3434656608101827,0.11337787394056287,0.023618868977316864
0.042500000000000177,2.4604224876037373,2.339960113201275,0.12046237440246221,0.02509432776926176
0.04500000000000018,2.4640035205775828,2.336456939609885,0.12754658096769766,0.026569655562315934
0.04750000000000018,2.4675866255042402,2.3329561491437754,0.13463047636046488,0.02804484465203755
0.05000000000000018,2.471171794243307,2.3294577509362244,0.1417140433070827,0.029519887334231484
0.052500000000000185,2.4747590186820445,2.3259617541459345,0.14879726453610997,0.03099477590496424
0.05500000000000019,2.4783482907353847,2.322468167956905,0.15588012277847962,0.03246950266058293
0.05750000000000019,2.4819396023459466,2.3189770015783284,0.16296260076761815,0.03394405989773126
0.06000000000000019,2.4855329454840533,2.315488264244474,0.17004468123957928,0.03541843991336885
0.0625000000000002,2.4891283121477312,2.312001965214569,0.1771263469331621,0.036892635004787615
0.0650000000000002,2.492725694362732,2.3085181137726756,0.18420758059005626,0.03836663746963403
0.0675000000000002,2.496325084182525,2.3050367192275703,0.19128836495495483,0.03984043960592495
0.0700000000000002,2.499926473688312,2.301557790912605,0.19836868277570696,0.0413140337120723
0.0725000000000002,2.5035298549890252,2.2980813381855913,0.2054485168034339,0.04278741208689999
0.0750000000000002,2.5071352202213286,2.294607370428657,0.21252784979267147,0.044260567029667186
0.07750000000000021,2.5107425615496197,2.2911358970481093,0.21960666450151045,0.04573349084009119
0.08000000000000021,2.514351871166024,2.2876669274742962,0.22668494369172798,0.04720617581836899
0.08250000000000021,2.517963141290395,2.2842004711614567,0.23376267012893814,0.048678614265203146
0.08500000000000021,2.521576364170305,2.280736537587588,0.2408398265827172,0.050150798481822675
0.08750000000000022,2.525191532081041,2.27727513625428,0.24791639582676117,0.0516227207700114
0.09000000000000022,2.528808637325593,2.2738162766865724,0.25499236063902053,0.05309437343213154
0.09250000000000022,2.532427672234647,2.2703599684327838,0.26206770380186306,0.054565748771154124
0.09500000000000022,2.536048629166571,2.2669062210643722,0.2691424081021987,0.05603683909068131
0.09750000000000023,2.539671500507403,2.2634550441757515,0.27621645633165137,0.05750763669497957
0.10000000000000023,2.543296278670836,2.260006447384135,0.28328983128670115,0.05897813388900674
0.10250000000000023,2.5469229560982,2.256560440329358,0.29036251576884187,0.060448322978443096
0.10500000000000023,2.5505515252584496,2.2531170326737153,0.2974344925847343,0.06191819626972161
0.10750000000000023,2.554181978648138,2.249676234101772,0.3045057445463657,0.06338774607006044
0.11000000000000024,2.5578143087914014,2.2462380543201874,0.31157625447121395,0.06485696468749681
0.11250000000000024,2.5614485082399376,2.2428025030575234,0.31864600518241426,0.06632584443092182
