phi_deg,R,N,theta_deg,Fc_forward,Fc_reverse,rho,DeltaFc
10,9.2,127,1.2000000000000002,4.0816534297352165,3.352012456438489,0.09815358727028987,0.7296409732967275
10,9.2,127,1.3,3.9923158076916643,3.2862009752631103,0.09701356107087257,0.706114832428554
10,9.2,127,1.4000000000000001,3.897238932489639,3.216893792112332,0.09563289956969025,0.6803451403773071
10,9.2,127,1.5,3.796751983033835,3.1444201614781435,0.09398006676314119,0.6523318215556917
10,9.2,127,1.6,3.6912040121152576,3.069115150974532,0.09202063484476096,0.6220888611407256
10,9.2,127,1.7000000000000002,3.580962259468883,2.9913171735878925,0.08971698356512904,0.5896450858809903
10,9.2,127,1.8,3.4664103836107993,2.9113654864993306,0.08702797157120612,0.5550448971114688
10,9.2,127,1.9000000000000001,3.3479466247982614,2.829597694797321,0.08390857324272087,0.5183489300009403
10,9.2,127,2.0,3.225981911976754,2.7463473002947127,0.08030947301038369,0.47963461168204136
10,9.2,127,2.1,3.1009379273337396,2.661941336464157,0.07617660734753474,0.43899659086958254
10,9.2,127,2.2,2.973245143167407,2.576698130081612,0.07145064256731594,0.3965470130857951
10,9.2,127,2.3000000000000003,2.84334084728854,2.490925228428096,0.06606637424120221,0.35241561886044437
10,9.2,127,2.4000000000000004,2.7116671751875314,2.4049175278057,0.05995203151867717,0.30674964738183164
10,9.2,127,2.5,2.578669169801385,2.3189556346913602,0.05302846695642783,0.2597135351100248
10,9.2,127,2.6,2.4447928930113068,2.2333044851599126,0.04520820982441156,0.2114884078513941
10,9.2,127,2.7,2.3104836171338143,2.148212241399979,0.03639435854842022,0.1622713757338352
10,9.2,127,2.8000000000000003,2.1761841298481643,2.0639094764304695,0.026479286507128302,0.11227465341769483
10,9.2,127,2.9000000000000004,2.0423331925387154,1.980608649767536,0.015343135742622202,0.06172454277117945
10,9.2,127,3.0,1.9093642003561653,1.898503868102007,0.002852076820654054,0.010860332254158278
15,9.2,127,0.0,4.619355714493359,3.766590196151397,0.10168984243739265,0.8527655183419625
15,9.2,127,0.1,4.6154955548868895,3.7634036358837126,0.10169497204856698,0.8520919190031768
15,9.2,127,0.2,4.603907582924969,3.753898905072932,0.10170236402011447,0.850008677852037
15,9.2,127,0.30000000000000004,4.584603663349359,3.738177333968083,0.10169994015871525,0.8464263293812762
15,9.2,127,0.4,4.557626505170944,3.7163650787658167,0.10167540272078156,0.8412614264051275
15,9.2,127,0.5,4.523049570884786,3.6886125238610896,0.10161609639997242,0.8344370470236964
15,9.2,127,0.6000000000000001,4.480976818022611,3.65509353123126,0.10150886746782979,0.8258832867913508
15,9.2,127,0.7000000000000001,4.431542273100728,3.616004527135104,0.10133991963137451,0.8155377459656243
15,9.2,127,0.8,4.374909439733017,3.5715634163963017,0.1010946665119574,0.8033460233367151
15,9.2,127,0.9,4.311270544334359,3.522008317247877,0.1007575807057455,0.7892622270864824
15,9.2,127,1.0,4.240845624382666,3.4675961147094942,0.10031203917022,0.7732495096731715
15,9.2,127,1.1,4.163881465592966,3.4086008367061504,0.09974016428635313,0.7552806288868155
15,9.2,127,1.2000000000000002,4.080650395552234,3.345311863504574,0.09902265947430995,0.7353385320476598
15,9.2,127,1.3,3.991448942349272,3.278031986799485,0.09813863775186032,0.7134169555497869
15,9.2,127,1.4000000000000001,3.8965963675020476,3.20707533962453,0.09706544112754721,0.6895210278775177
15,9.2,127,1.5,3.7964330830461885,3.132765222195492,0.09577844818622909,0.6636678608506967
15,9.2,127,1.6,3.6913189630308443,3.0554318519286765,0.09425086660859328,0.6358871111021678
15,9.2,127,1.7000000000000002,3.5816315599193125,2.9754100683111973,0.09245350662379596,0.6062214916081152
15,9.2,127,1.8,3.467764236575162,2.8930370250578297,0.09035453048721477,0.5747272115173323
15,9.2,127,1.9000000000000001,3.3501242247047482,2.808649903033825,0.08791917197160566,0.5414743216709232
15,9.2,127,2.0,3.229130620901674,2.7225836776803436,0.08510941853207137,0.5065469432213305
15,9.2,127,2.1,3.1052123318727998,2.6351689740721973,0.08188364722632702,0.47004335780060247
15,9.2,127,2.2,2.978805981081889,2.546730041208684,0.07819620361358004,0.4320759398732048
15,9.2,127,2.3000000000000003,2.850353789974722,2.45758287466648,0.07399691068747748,0.39277091530824215
