name,F0,period,du,dv,dvy,u,v,m,n,lock_residual,expected_winding
w34,3.4,40.0,0.05,0.05,-0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.05,0.05,0.0,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w34,3.4,40.0,0.05,0.05,0.1,3.000000000000143,-4.000000000000221,3,-4,1.9425134151257913e-13,1
w27_high,3.675,70.0,-0.05,-0.05,-0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,-0.05,-0.05,0.0,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,-0.05,-0.05,0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,-0.05,0.0,-0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,-0.05,0.0,0.0,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,-0.05,0.0,0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,-0.05,0.05,-0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,-0.05,0.05,0.0,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,-0.05,0.05,0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.0,-0.05,-0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.0,-0.05,0.0,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.0,-0.05,0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.0,0.0,-0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.0,0.0,0.0,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.0,0.0,0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.0,0.05,-0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.0,0.05,0.0,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.0,0.05,0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.05,-0.05,-0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.05,-0.05,0.0,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.05,-0.05,0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.05,0.0,-0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.05,0.0,0.0,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.05,0.0,0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.05,0.05,-0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.05,0.05,0.0,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
w27_high,3.675,70.0,0.05,0.05,0.1,1.999999999999996,-6.999999999999992,2,-7,6.9226656709808295e-15,1
