F0,period,u,v,m,n,res,dy
3.275,40.0,1.000000000000011,-2.999999999999992,1.0,-3.0,1.6610361272442235e-14,-2.598076211353309
3.3,40.0,2.000000000001696,-4.000000000000846,2.0,-4.0,1.4687597222840067e-12,-3.4641016151384876
3.325,40.0,2.0000000000000004,-4.0,2.0,-4.0,4.440892098500626e-16,-3.4641016151377544
3.35,40.0,3.0000000000005347,-4.000000000000255,3.0,-4.0,4.632163396936792e-13,-3.464101615137975
3.375,40.0,2.999999999999954,-3.999999999999913,3.0,-4.0,7.542721556874505e-14,-3.464101615137679
3.4,40.0,3.0000000000000164,-4.000000000000026,3.0,-4.0,2.258751403877127e-14,-3.464101615137777
3.425,40.0,2.9999999999999996,-4.0,3.0,-4.0,4.440892098500626e-16,-3.4641016151377544
3.45,40.0,2.9999999999999982,-4.000000000000006,3.0,-4.0,7.270053689609713e-15,-3.4641016151377597
3.475,40.0,3.999999999999761,-3.9999999999995355,4.0,-4.0,4.023389421048717e-13,-3.464101615137352
3.5,40.0,4.000000000000009,-3.999999999999998,4.0,-4.0,1.0175362097255202e-14,-3.4641016151377526
3.525,40.0,4.0000000000002425,-3.999999999999902,4.0,-4.0,3.03681372116469e-13,-3.4641016151376696
3.55,40.0,3.9999999999993747,-5.000000000000948,4.0,-5.0,1.371731977457418e-12,-4.330127018923013
3.575,40.0,4.000000000000153,-5.000000000000069,4.0,-5.0,1.324905010292359e-13,-4.330127018922253
3.6,40.0,4.000000000000002,-4.999999999999997,4.0,-5.0,3.871479975306501e-15,-4.330127018922191
3.625,40.0,4.000000000000001,-5.0,4.0,-5.0,8.881784197001252e-16,-4.330127018922193
3.65,40.0,3.9999999999999982,-5.0000000000000036,4.0,-5.0,4.699798436761765e-15,-4.330127018922196
3.675,40.0,4.999999999999879,-4.9999999999998845,5.0,-5.0,1.1821784889303072e-13,-4.330127018922093
3.7,40.0,5.000000000000041,-5.00000000000009,5.0,-5.0,7.779043645558483e-14,-4.330127018922271
3.725,40.0,4.999999999999957,-3.9999999999999325,5.0,-4.0,5.912893988513175e-14,-3.4641016151376958
3.75,40.0,5.000000000000198,-3.9999999999999525,5.0,-4.0,2.2560737158046015e-13,-3.464101615137713
