family,shape,N,Theta,theta_deg,Fp,Fm,Fp_norm,Fm_norm,rho,hard_p,hard_m,res_p,res_m
hex,shell12,469,19.0,0.8773384834252593,2.9591308550854145,1.214320338350979,0.8490756868588846,0.8538110136811564,0.41807378015549984,12.763725443654986,21.083754851903837,2.0467300649366114e-14,1.3019692025040725e-14
hex,shell12,469,20.0,0.9235141930792203,2.9022189548696136,1.1917576225974713,0.8327457193337476,0.8379467523322419,0.4177994914984083,12.383796474412506,20.564905251567964,2.2127416467744115e-15,5.55084047751295e-14
hex,shell14,631,0.0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656,16.820108412143277,26.412876826421353,1.7838401791723786e-15,5.988270375482281e-14
hex,shell14,631,1.0,0.03980937143290165,3.4836844292314106,1.4216680613200114,0.999588019051588,0.9996010197787896,0.4203604882387571,16.807391075878208,26.39667421224,1.8935684861832215e-14,3.573940401286767e-14
hex,shell14,631,2.0,0.0796187428658033,3.4793756197288346,1.4199652251850605,0.9983516744737007,0.9984037243036189,0.420344380955183,16.769292259873218,26.348118171203247,2.86275390222332e-14,3.9884063777850524e-14
hex,shell14,631,3.0,0.11942811429870494,3.4721896660854052,1.4171255024162255,0.9962897789968429,0.9964070628797271,0.4203173845098987,16.705971208304838,26.267363745442957,4.492987240665492e-15,1.6189457293645285e-14
hex,shell14,631,4.0,0.1592374857316066,3.4621198792822696,1.4131464673149028,0.9934004133130979,0.993609329953713,0.4202792763102072,16.617692213680584,26.154668135637287,3.0790730144393575e-14,2.76224101435047e-14
hex,shell14,631,5.0,0.19904685716450823,3.449157326489976,1.4080248591432878,0.9896810142886693,0.99000823284072,0.42022975242395033,16.50482294363851,26.010388914385597,1.0204492290201671e-14,4.851506624390872e-14
hex,shell14,631,6.0,0.23885622859740988,3.433291254524058,1.401756715057305,0.985128496467748,0.9856009851920311,0.4201684351939637,16.367832096218372,25.834981559817763,1.3037923325751286e-15,1.0110718329926432e-13
hex,shell14,631,7.0,0.27866560003031154,3.4145096224244296,1.3943375377574776,0.9797394048877265,0.9803844248734844,0.42009488290547664,16.20728638313752,25.628996343213906,1.1412788707941493e-14,6.396469502727846e-16
hex,shell14,631,8.0,0.3184749714632132,3.3927997343678378,1.3857624954684191,0.973510096683393,0.9743551545747409,0.42000860140900426,16.023846842851462,25.3930746125439,2.574119042225217e-14,1.4675830822067898e-14
hex,shell14,631,9.0,0.3582843428961148,3.368148962299308,1.3760266513903248,0.9664369484345687,0.9675097031408567,0.41990905757379265,15.818264489061516,25.127944520950173,4.357471488583506e-14,3.305985064466553e-14
